3.00,6.00,10.00,14.00,18.00,22.00,26.00,30.00,34.00,38.00
6.00,3.00,6.00,10.00,14.00,18.00,22.00,26.00,30.00,34.00
10.00,6.00,3.00,6.00,10.00,14.00,18.00,22.00,26.00,30.00
14.00,10.00,6.00,3.00,6.00,10.00,14.00,18.00,22.00,26.00
18.00,14.00,10.00,6.00,3.00,6.00,10.00,14.00,18.00,22.00
22.00,18.00,14.00,10.00,6.00,3.00,6.00,10.00,14.00,18.00
26.00,22.00,18.00,14.00,10.00,6.00,3.00,6.00,10.00,14.00
30.00,26.00,22.00,18.00,14.00,10.00,6.00,3.00,6.00,10.00
34.00,30.00,26.00,22.00,18.00,14.00,10.00,6.00,3.00,6.00
38.00,34.00,30.00,26.00,22.00,18.00,14.00,10.00,6.00,3.00
