hhno,pno,tour,pdpurp,half,tseg,mode,autotime,transittime,transitwait,transitwalk,biketime,walktime,tollcost,fuelcost,parkcost,farecost,travdist,expfactor
10,1,1,1,1,1,2,0,0,0,0,27,0,0,1.08,0,0,6,10000
10,1,1,1,2,1,2,0,0,0,0,27,0,0,1.08,0,0,6,10000
10,1,1,1,2,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
10,1,2,3,1,1,4,27,0,0,0,0,0,0,2.52,0,0,14,10000
10,1,2,3,2,1,3,27,0,0,0,0,0,0,2.52,0,0,14,10000
10,1,2,3,2,2,4,2.7,0,0,0,0,0,1.8,0.09,0,0,0.5,10000
10,1,3,4,1,1,4,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
10,1,3,4,2,1,4,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
20,1,1,5,1,1,3,30.6,0,0,0,0,0,0,2.88,1.8,0,16,10000
20,1,1,5,1,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
20,1,1,5,2,1,3,30.6,0,0,0,0,0,0,2.88,0,0,16,10000
20,1,1,5,2,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
20,2,1,6,1,1,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
20,2,1,6,2,1,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,1,1,1,1,1,3,16.2,0,0,0,0,0,0,1.44,0,0,8,10000
40,1,1,1,1,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,1,1,1,2,1,3,16.2,0,0,0,0,0,0,1.44,0,0,8,10000
40,1,1,1,2,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,1,1,1,2,3,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,2,1,1,1,1,4,23.4,0,0,0,0,0,0,2.16,0,0,12,10000
40,2,1,1,1,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,2,1,1,2,1,3,23.4,0,0,0,0,0,0,2.16,0,0,12,10000
40,2,2,3,1,1,6,0,14.4,4.5,9,0,0,0,0,0,1.8,12,10000
40,2,2,3,2,1,6,0,14.4,4.5,9,0,0,0,0,0,1.8,12,10000
40,3,1,3,1,1,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,3,1,3,1,2,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,3,1,3,2,1,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,3,1,3,2,2,5,2.7,0,0,0,0,0,0.9,0.09,0.9,0,0.5,10000
40,4,1,4,1,1,4,9,0,0,0,0,0,0,0.72,0,0,4,10000
40,4,1,4,2,1,4,9,0,0,0,0,0,0,0.72,0,0,4,10000
40,5,1,3,1,1,5,23.4,0,0,0,0,0,0,2.16,0,0,12,10000
40,5,1,3,2,1,3,23.4,0,0,0,0,0,0,2.16,0,0,12,10000
40,5,1,3,2,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,5,1,3,2,3,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,5,2,4,1,1,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,5,2,4,2,1,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,5,3,5,1,1,4,9,0,0,0,0,0,0,0.72,0,0,4,10000
40,5,3,5,2,1,4,9,0,0,0,0,0,0,0.72,0,0,4,10000
40,6,1,7,1,1,4,9,0,0,0,0,0,0,0.72,0,0,4,10000
40,6,1,7,1,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,6,1,7,2,1,4,9,0,0,0,0,0,0,0.72,0,0,4,10000
40,6,1,7,2,2,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,6,2,7,1,1,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,6,2,7,1,2,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
40,6,2,7,2,1,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
50,1,1,6,1,1,5,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
50,1,1,6,2,1,5,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
50,1,1,6,2,2,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
50,2,1,1,1,1,5,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
50,2,1,1,2,1,5,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
50,2,1,1,2,2,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
50,2,2,1,1,1,3,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
50,2,2,1,1,2,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
50,2,2,1,1,3,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
50,2,2,1,1,4,5,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
50,2,2,1,2,1,5,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
50,3,1,2,1,1,5,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
50,3,1,2,2,1,5,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
50,3,2,5,1,1,5,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
50,3,2,5,2,1,5,12.6,0,0,0,0,0,0,1.08,0,0,6,10000
60,1,1,1,1,1,3,16.2,0,0,0,0,0,0,1.44,0,0,8,10000
60,1,1,1,2,1,3,16.2,0,0,0,0,0,0,1.44,0,0,8,10000
60,1,1,1,2,2,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
60,1,1,1,2,3,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
60,1,1,1,2,4,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
60,1,2,7,1,1,3,16.2,0,0,0,0,0,0,1.44,0,0,8,10000
60,1,2,7,2,1,3,16.2,0,0,0,0,0,0,1.44,0,0,8,10000
60,2,1,5,1,1,4,9,0,0,0,0,0,0,0.72,0,0,4,10000
60,2,1,5,2,1,4,9,0,0,0,0,0,0,0.72,0,0,4,10000
70,1,1,1,1,1,3,19.8,0,0,0,0,0,0,1.8,0,0,10,10000
70,1,1,1,2,1,3,19.8,0,0,0,0,0,0,1.8,0,0,10,10000
70,2,1,1,1,1,3,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
70,2,1,1,2,1,3,5.4,0,0,0,0,0,0,0.36,0,0,2,10000
70,3,1,2,1,1,5,19.8,0,0,0,0,0,0,1.8,0,0,10,10000
70,3,1,2,1,2,4,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
70,3,1,2,2,1,5,19.8,0,0,0,0,0,0,1.8,0,0,10,10000
80,1,1,3,1,1,5,23.4,0,0,0,0,0,2.7,2.16,3.6,0,12,10000
80,1,1,3,2,1,3,23.4,0,0,0,0,0,0,2.16,0,0,12,10000
80,1,2,3,1,1,3,2.7,0,0,0,0,0,0,0.09,0,0,0.5,10000
